FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,0.426,0.426,1.632,2.17,2.292,2.5,2.746,2.79,3.062,3.465,2.284,3.693,3.693,3.693,4.417,4.571,4.725,5.261,5.487,5.925,5.914,6.094,5.725,5.708,5.358,4.262,5.34,5.172,5.245,5.399,5.246,5.432,5.248,5.441,4.637,4.911,,
A,Annual,AFG,Afghanistan,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,7.791,8.777,9.348,11.436,11.489,11.217,11.462,18.483,32.596,32.052,31.746,13.903,9.168,9.105,8.816,7.429,7.286,6.938,6.752,6.749,5.914,4.664,4.428,5.208,4.81,6.153,7.745,9.177,16.063,26.702,33.345,42.005,40.341,33.459,28.417,32.744,29.884,29.56,33.908,30.314,27.393,27.135,,
A,Annual,AGO,Angola,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,17.105,16.958,18.173,19.43,17.553,21.619,21.351,22.02,22.712,21.975,23.331,24.454,24.814,24.361,23.769,25.496,24.504,27.524,24.773,27.651,32.448,35.234,37.546,41.666,46.077,39.23,49.463,56.855,66.637,75.825,83.179,87.199,91.069,101.919,112.177,116.999,106.752,101.83,105.279,118.654,117.908,96.311,,
A,Annual,ALB,Albania,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,47.765,47.491,47.725,49.627,49.941,49.839,48.672,48.838,49.409,46.991,33.658,28.23,24.674,21.638,20.567,22.728,25.011,22.844,24.572,22.114,28.732,27.233,29.497,33.27,35.487,35.014,32.967,28.377,30.991,33.773,36.061,31.486,30.81,38.665,34.06,34.083,39.827,36.863,42.032,33.296,31.988,40.253,,
A,Annual,ARE,United Arab Emirates,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,0.855,0.912,5.407,6.945,6.969,9.606,14.638,15.65,20.293,22.296,23.859,30.19,49.632,57.501,67.56,108.156,125.928,135.966,130.515,162.547,201.634,244.387,273.077,301.883,340.165,344.953,420.837,406.696,423.47,464.674,484.871,499.688,521.456,534.113,538.369,535.782,541.566,591.693,631.155,675.065,704.598,741.293,818.361,938.4,925.575,972.492,1020.931,1074.1,1133.245,1130.877,1227.789,1276.312,1215.444,1150.513,1219.067,1204.676,1246.315,1355.694,1425.916
A,Annual,ARG,Argentina,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,328.528,339.175,349.032,360.844,372.911,353.487,374.742,379.448,396.458,412.278,402.571,422.714,441.458,442.127,474.656,472.019,457.964,466.513,485.764,487.344,481.619,508.885,531.837,540.738,521.441,513.022,521.347,559.309,577.843,608.761,628.236,657.128,664.755,688.425,696.066,698.777,682.524,654.474,701.506,744.817,790.507,830.543,865.645,877.178,852.511,883.969,909.091,943.706,981.398,979.858,996.94,992.424,991.397,984.346,927.358,869.829,958.463,1029.381,1019.741
A,Annual,ARM,Armenia,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.757,43.957,39.296,38.545,49.341,41.582,44.191,27.312,29.374,28.887,27.671,30.428,31.559,36.559,36.503,40.962,39.531,35.321,39.338,41.415,43.885,43.054,43.884,40.66,40.95,43.641,42.928,45.635,47.937,49.357,,
A,Annual,ATG,Antigua and Barbuda,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,1.701,1.515,2.06,1.212,1.337,1.333,1.355,1.687,1.691,1.687,1.749,1.743,1.748,1.743,1.866,1.989,1.995,2.05,2.05,2.05,2.136,2.136,2.29,2.407,2.497,2.535,2.613,2.738,2.801,2.935,2.837,2.829,2.908,2.908,2.973,3.043,3.088,2.937,3.027,3.043,2.575,2.747,,
A,Annual,AUS,Australia,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,425.76,446.102,473.093,501.694,522.428,570.102,598.808,626.095,669.356,711.901,723.9,749.088,785.969,811.221,841.291,844.247,857.794,849.919,841.572,871.355,896.293,912.411,937.538,981.314,1029.713,1051.079,1043.94,1060.42,1084.443,1125.551,1154.299,1188.137,1217.288,1246.33,1297.347,1305.259,1315.385,1341.745,1360.862,1404.444,1410.35,1470.838,1506.167,1531.745,1509.545,1508.839,1558.602,1536.113,1555.586,1566.458,1601.271,1606.503,1601.646,1624.987,1679.844,1585.126,1589.075,1661.016,1672.456
A,Annual,AUT,Austria,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,189.498,198.325,200.363,214.242,221.926,254.149,253.084,261.826,281.51,282.962,281.064,290.894,291.598,304.19,322.217,320.874,311.52,301.322,300.495,297.469,315.806,316.435,334.019,329.132,330.973,333.824,349.4,344.792,352.443,349.408,367.661,375.696,380.569,389.247,392.804,395.171,406.593,406.828,407.704,422.457,431.35,425.865,420.066,424.56,409.772,421.558,395.869,414.402,410.852,394.889,396.383,409.651,417.569,408.402,427.96,400.144,406.033,379.769,384.811
