STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MKD,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,North Macedonia,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,36.22139205662604,36.400511207235546,36.57963035784507,36.75874950845458,36.937868659064094,37.11698780967361,37.296106960283126,37.47522611089265,37.654345261502165,37.66567046795124,37.67699567440032,37.68832088084939,37.69964608729847,37.71097129374754,37.72229650019662,38.032738803012286,38.044153785176384,38.070658207771615,38.08207771609833,38.35146708961142,38.620856463124504,38.8902458366376,39.159635210150675,39.42902458366376,39.7172878667724,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CZE,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Czechia,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,34.05954445451016,34.069729519865405,34.079914585220656,34.0900996505759,34.10028471593115,34.1104697812864,34.12065484664165,34.130839911996894,34.15683965316423,34.182839394331566,34.2088391354989,34.239269997411334,34.265273103805335,34.295715210355986,34.321721682847894,34.352175038839974,34.3781848783014,34.40864948854072,34.43716172471837,34.46567396089603,34.4986531986532,34.527169127169124,34.560160600958426,34.57907006864396,34.602512627897944,34.625955187151924,34.65141732130483,34.67799192549392,34.70669802089294,34.73694317854479,34.76238837404077
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LVA,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Latvia,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,51.209282144406764,51.31855946775515,51.427836791103545,51.537114114451924,51.64639143780031,51.7556687611487,51.864946084497085,51.974223407845464,52.08350073119385,52.294213122920915,52.50492551464798,52.71563790637504,52.92635029810212,53.13706268982917,53.347775081556236,53.5584874732833,53.769199865010364,53.97991225673743,54.19062464846449,54.25271988043775,54.31481511241102,54.37691034438428,54.43900557635754,54.50110080833079,54.563292461471704,54.62548411461263,54.687675767753554,54.74986742089446,54.80941668005785,54.871605335047406,54.93379399003696,54.99598264502652
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,63.77809763381267,63.72993987005475,63.68178210629682,63.63362434253891,63.585466578780995,63.537308815023074,63.48915105126515,63.44099328750723,63.39283552374931,63.344677759991384,63.29651999623347,63.24836223247555,63.20020446871764,63.15204670495971,63.10388894120179,63.055731177443874,63.00757341368595,62.95941564992803,62.91125788617011,62.8631001224122,62.81494235865427,62.56180470547088,62.30866705228749,62.0555293991041,61.802391745920715,61.54925409273733,61.29595501688212,61.04288462314532,60.78970661429397,60.53651515355332,60.283337144701974,60.03015012308478,59.77696915481779,59.52378415098401
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRK,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Korea, Dem. People's Rep.",Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,57.40411925919774,57.02430030728345,56.644481355369145,56.26466240345486,55.88484345154057,55.50502449962627,55.12520554771198,54.74538659579768,54.365567643883395,53.98574869196911,53.60592974005481,53.429615480441825,53.25330122082884,53.076986961215844,52.90067270160286,52.72435844198987,52.54804418237688,52.37172992276389,52.195415663150904,52.01910140353792,51.84278714392493,51.66647288431193,51.49015862469894,51.313844365085956,51.13753010547296,50.961215845859975,50.784818536666386,50.61041441740719,50.43601029814799,50.25330122082884,50.078897101569645,49.90449298231044,49.73008886305124,49.55070176895607
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TUR,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Türkiye,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,25.7051830100178,25.752591505008905,25.8,25.847408494991097,25.8948169899822,25.942225484973296,25.9896339799644,26.037042474955502,26.084450969946598,26.131859464937694,26.179267959928797,26.300719826410095,26.42217169289139,26.543623559372687,26.665075425853985,26.786527292335276,26.907979158816573,27.029431025297868,27.150882891779165,27.272334758260463,27.393786624741757,27.535990021179007,27.678193417616253,27.820396814053506,27.962600210490756,28.104803606928,28.104803606928,28.263529228330498,28.466094097163573,28.668788898561647,28.87148369995972,29.074178501357796,29.276873302755867,29.479568104153948
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGD,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bangladesh,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,14.75247752938465,14.752475992932318,14.75247445647999,14.752472920027653,14.752471383575324,14.752469847122992,14.752469078896826,14.752467542444494,14.752466005992165,14.752464469539833,14.752462933087504,14.727890450948758,14.703317968810016,14.678745486671277,14.654173004532534,14.629600522393796,14.605028040255053,14.58045555811631,14.555883075977569,14.531309825612663,14.506737343473915,14.499144196051317,14.491551048628715,14.483957901206116,14.476364753783514,14.468771606360914,14.468771606360914,14.468771606360914,14.468771606360914,14.468771606360914,14.468771606360914,14.468771606360914,14.458774758175954,14.489921526388674
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,WSM,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Samoa,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,62.23674911660777,62.06643109540636,61.89611307420495,61.72579505300353,61.55547703180212,61.38515901060071,61.2148409893993,61.04452296819788,60.87420494699647,60.70388692579506,60.533568904593636,60.363250883392226,60.192932862190816,60.022614840989405,59.85229681978799,59.68197879858658,59.51166077738515,59.34134275618375,59.17102473498234,59.000706713780914,58.830388692579504,58.659363957597165,58.48833922261484,58.31731448763251,58.14628975265017,57.975265017667844,57.80565371024735,58.672661870503596,58.5,58.3273381294964,58.15467625899281,57.98201438848921,57.809352517985616,57.63669064748201
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VCT,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,St. Vincent and the Grenadines,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,70.61538461538461,70.87179487179486,71.12820512820512,71.38461538461539,71.64102564102564,71.89743589743588,72.15384615384615,72.41025641025641,72.66666666666666,72.9230769230769,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717,73.17948717948717
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LDC,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Least developed countries: UN classification,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34.894023080561965,34.737968808674744,34.58191453678753,33.425140269296946,33.27448721321424,33.12383415713154,32.97318110669534,32.82252805061265,32.671874994529944,32.52122193844723,32.369929161925334,32.205468083680366,32.04100700543539,31.876545927190428,31.44846353545559,31.285395540786652,31.122123550167956,30.95886301281224,30.796198445281686,30.633065515088457,30.468865814996885,30.258214462281366,27.67946719430662,27.48673551773466,27.29392009061408,27.100969886151212,26.908023845142043,26.71877888260327,26.531512703927707,26.340636647533668,26.15181497133161,25.961604131924766,25.772259703992443,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZAF,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,South Africa,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,14.955271249453874,14.925265231763513,14.89525921407315,14.865253196382792,14.835247178692429,14.805241161002069,14.775235143311708,14.745229125621348,14.715223107930985,14.685217090240624,14.655211072550264,14.625205054859903,14.595199037169543,14.56519301947918,14.535187001788819,14.505180984098459,14.475174966408098,14.445168948717738,14.415162931027375,14.385156913337017,14.355150895646654,14.325144877956292,14.295138860265933,14.26513284257557,14.23512682488521,14.205120807194849,14.175114789504489,14.145108771814128,14.115102754123765,14.085096736433405,14.055090718743044,14.025084701052684,13.995078683362323,13.96507266567196
