STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KGZ,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Kyrgyz Republic,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,84459.3028542973,85602.37908266178,95206.64063768253,95838.39396819501,99372.11037211391,89994.33394404649,76652.10825176064,64782.45142498733,51790.37746709961,48493.90398412088,51166.69906780646,55425.90547142175,55740.35634192805,56925.750688679625,59314.41555360751,61880.80604674592,61304.39493105582,64929.88687187061,68656.45874704415,67766.95372909984,69123.47496049055,74316.37139275129,79797.61200467254,81020.56826398335,79496.62507757827,83023.93282571787,81402.57408074485,88333.33124464485,89885.51237688476,91294.98559280111,93166.39722392523,95549.94615247032,97027.02238752815,99240.40368358463,90277.4300701276,93516.37656278645,100090.97873615456,107198.63307862953,114912.99410346465
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MKD,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,North Macedonia,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148630.88684389944,139981.17630693474,132301.4729476616,123985.34417551053,122672.74410262432,120949.10629491418,121529.98952077287,124248.27627651088,127764.62775270818,132672.67257337362,138077.82466010313,133281.4384323022,136258.22151446645,139109.8641683867,146084.24024370767,153813.58679120144,162610.49688435014,174128.42491400364,184722.44131731638,185254.40809645996,192704.81704240563,198119.8494062655,197990.3835640715,204535.14715641833,212528.2325375465,221314.76707644202,228348.64998560047,231749.59984873518,239637.78638056887,250705.92486550385,241544.20717581367,255051.6734399716,262861.1921524781,270151.8095913374,278766.67914593563
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGD,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Bangladesh,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,42642.780727979465,43969.150188496234,45039.69955550855,43546.366419080055,46925.70954784677,46307.123035543795,46134.64257387156,43956.90672120384,46732.08697957427,45977.006384672495,47319.90125615102,43951.916626873994,37089.91606702253,37241.74897185104,39674.64028331309,37067.78859895704,38184.923429482806,38242.12176172151,39960.15986784067,40882.10380576629,40242.31156884433,42060.67839123583,41796.010481174024,42270.16375104231,43177.420994891516,43534.94288651829,44299.39442801566,44952.792632964716,45069.924578613296,45409.0715540452,47016.91841825889,47734.77098359182,49392.999692493955,50765.66996037326,51771.62506983466,53421.01408013695,54825.74347513189,56235.32637747826,58040.45361103363,59607.94778426283,61626.69825249533,63685.201803198266,65113.57209280418,67214.34740202923,69779.48675357475,73408.93674861429,77402.69769594715,81979.67614924103,86046.3367660402,89549.08025264095,93713.5270729492,98869.17984089127,104312.40296283808,109552.45140357468,115138.59071844992,121591.52773580956,129083.77346029274,136424.9007037574,145213.35862859696,155338.5691630053,159356.36733723307,169030.40503903243,179186.55404088358,187233.29195899455,192784.75603155533
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,196098.52704215923,198470.17532485782,192990.8977294549,191074.9764041458,193568.18475942078,193550.3349882085,197527.8814771207,188589.0516591107,190593.74228111026,200362.79356259288,203800.98208511015,202154.01089699415,198413.10045136808,197872.93813508213,202402.73494504447,213369.21267825313,220303.4949083348,222121.83429508077,232758.30118449678,245994.3318980252,259305.93032138384,262346.32856671367,235772.55027403872,210607.94249355423,207250.80698074398,209276.1362422801,226526.06173411434,243264.937469999,245413.91494546377,246652.27436812577,245939.5012470997,253178.83974719074,271750.0823008043,277500.98284566484,296159.61859334586,290352.7647486706,304934.28284228296,329251.2455539199,342436.86896470824,335701.5333365089,327993.9142540305,314610.4840771218,289876.1148591876,292003.91891834233,306433.03025023546,329030.4674306274,342127.1330710447,363882.7495718712,389165.9498264327,404710.25539781235,435175.4114711714,456505.5586933488,471442.2417574379,491840.38884572766,506106.3678704205,506220.6191358298,513058.5479227398,520577.37340922275,520498.7603600376,524917.6287808275,486045.6288496979,514795.7234900396,538807.81016794,543260.1744173176,560393.0289128763
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OMN,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Oman,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,986.3247803272855,980.2525671567516,1156.534437764873,1185.4735578717289,1162.01398405904,1141.97327232091,1174.1847799947896,1905.5322899376831,3380.605033731024,4139.926033893577,4591.188495201304,4507.020344462569,4812.257059376842,4008.6232987926714,4315.140211087728,5149.727307976746,5934.433176097734,5709.582119549078,5223.915993930939,5169.904564879319,5196.503438708492,5759.794795331593,6079.159749051158,6709.4729804419785,7414.900360338411,7957.564238615445,7611.877226073797,6921.128222193796,6929.614536488209,7339.322888055802,6965.223048900368,7039.051879233453,7289.694867193812,7411.173111405146,7475.951492770317,7706.278577788174,7807.003160980025,8150.34280966988,8028.386192237622,7943.552091984186,8327.436067429959,8605.685093651375,8439.845280984451,8161.533397975121,8182.147444653885,8221.596697620378,8417.346145510866,8646.185044281048,9217.90697913482,9557.787413597034,9535.526715663698,8793.267469740113,8303.30415837587,8083.7515092283,7843.44246095943,7877.832060302589,7887.171514938816,7655.690620787782,7652.227321435524,7576.796774553983,7432.000507684139,7661.300357477428,7871.188395649595,7478.106780799676,7265.8873814725375
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MMR,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Myanmar,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,158297.289368415,155604.2418440112,158438.66684406003,175653.67040854148,161652.25520093573,174941.81941903828,162720.5835889652,149645.0040403553,163928.05231730215,165531.6386126942,169889.261859626,172998.15128826798,173340.36305323523,168125.25849251376,173685.77603883375,177431.13814498106,184656.7682549888,191922.0717617502,200486.11661885964,206879.1589478948,219064.05014331028,228641.23636519955,237083.40873118074,242709.51753040115,249456.045664885,251499.32598990787,244225.05064387454,230387.63168709743,200903.2875299601,205067.0343050645,207652.52319114146,203355.13494353663,219972.35330781853,230154.4744573866,244114.30617178022,257704.02813375168,270814.2138591111,282493.4039847081,295355.3219158488,323805.18890622794,364223.76559976,401285.76409907563,445054.9138159993,501950.4881245051,565174.9362634742,636862.4749419589,714913.3085613339,794986.7291671822,871701.4470624608,958325.5951490306,1042855.5613510845,1092355.5430513506,1162629.4850121331,1249928.296430324,1340869.1568172406,1423193.1606174128,1494730.2663896417,1574243.5495346386,1660855.2412143294,1757734.501050546,1587356.2351619368,1386919.17586199,1432993.024971898,1436651.8671182096,1413125.1203378725
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3330.134159359388,3431.464124226434,3372.937829224876,3472.332068468113,3327.3045391014734,3382.291873175189,3327.2729916445583,3493.972211062511,3452.201642663006,3760.211394393004,4469.334663977712,4724.071292019609,4962.7007578173,4933.5563884226185,5093.096099714014,4838.858767151051,4715.639586806789,4281.5144878194815,4105.737029063196,4174.765318928836,4509.678458522166,4765.0455619221375,4703.729345784722,4600.163176806788,4354.819111960215,4498.902943486201,4442.093666942041,4347.0286754067365,4529.726872235481,4629.182933551148,4819.570844503502,4955.400441487865,4383.155801807021,4364.9686085672865,4762.444390529771,4725.876316756539,5129.620553558049,5169.1593900241405,5215.3404902427465,5089.646859181745,4888.892264625416,4926.193116698843,4445.078999206877,3645.9977634665142,3397.1591221533804,3172.984360390636,3026.063263837258,2877.3477127329475,2340.59834484502,2614.198651884417,3078.4835797393157,3453.6735080862504,3964.373655682667,3986.7174432531115,4025.8779341044315,4042.9936135205935,4017.3919785450894,4147.318308977523,4290.796678189534,3956.733116509274,3587.4127771128383,3824.6093202533866,3990.7376201812976,4134.354966965554,4132.160508845149
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GTM,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Guatemala,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,13718.660643927695,13889.499763150408,13961.014660796596,14851.429230334052,15094.686965241914,15304.908046712357,15694.883280334181,15887.692950718458,16810.263598425277,17141.124463747088,17649.87657361562,18159.65804467211,18995.775994121243,19766.662245948002,20500.99623202513,20397.629721389305,21436.89923071076,22608.731022265823,23159.49997058615,23651.79885629724,23927.8949530826,23485.560655363297,22141.447375853924,21050.356653326402,20569.836777368,19874.083399185165,19357.222342270634,19498.056667371784,19697.599339857636,19906.2095065082,19957.029206163967,20134.241382984506,20554.923701984382,20799.690800214852,21070.014181999137,21535.299761582377,21605.511811470016,21978.90401642918,22493.48260571166,22778.437358426643,23046.407448644128,23048.38120002787,23390.98989418968,23455.67778996414,23659.863257200795,23911.77515805193,24664.04108664182,25680.4649708029,25987.29840043619,25596.124711065884,25817.665684237472,26361.795863556057,26610.74795189046,27060.122229077064,27732.102048722318,28342.775425324588,28570.431735424212,28919.568462247782,29410.72773235401,30130.7424436542,29160.50929506707,31073.485466214737,31921.69528062077,32544.517528929086,33217.06058216076
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Armenia,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734049.4854352096,637073.1069124126,375148.3762106084,353878.4626557771,382823.2940519109,416294.139977222,444588.7972647988,463945.0950608526,503691.7605374141,527067.8549711014,548839.7571637018,603270.1429105175,685462.843583974,785675.4651688924,872999.2876552182,1000192.6812865497,1139205.998433053,1303488.8959902169,1402592.4756891583,1213118.472276582,1248439.471623752,1314411.6988011494,1410819.9133626535,1458389.7076439443,1515002.597916252,1568270.0206683085,1577865.9065935903,1703549.9643552394,1798412.1641966992,1939337.2590042194,1800312.6768529462,1904216.4197076596,2139164.9932305,2320545.228148298,2401398.0421295534
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,XKX,WB_WDI_NY_GDP_PCAP_KN,_T,_T,_T,XDC_K,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Kosovo,GDP per capita (constant LCU),Total,All age ranges or no breakdown by age,Total,"Domestic currency, constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.3969707772628,2070.403040986114,2179.8924719761308,2313.5109871988543,2333.3603190923045,2443.1185747467575,2532.359106525418,2718.9471523938723,2887.728964517813,3004.3466875560785,3096.2054681857185,3258.344359717836,3082.168878491256,3421.1501282977965,3603.8086732847087,3940.8035334361857,4349.2934124375215
